,SPY,Regime,Level,Equity_vs_Bond,US10Y,Jobless_Claims_MA,VIX,Market_Breadth,spread_10y2y,DXY,Copper_Gold_Ratio
2010-08-05,85.1883316040039,0,4,2.8259778105236864,2.94,459400.0,22.100000381469727,0.3751859583791764,2.41,80.81999969482422,0.002798613634699783
2010-08-06,84.84109497070312,0,4,2.8184715034541212,2.86,460500.0,21.739999771118164,0.3749946269396523,2.36,80.41000366210938,0.0027750539161198236
2010-08-09,85.29399871826172,0,4,2.81877947494578,2.86,462700.0,22.13999938964844,0.3756250975544415,2.32,80.70999908447266,0.0027904557700210264
2010-08-10,84.83353424072266,0,4,2.842538034757325,2.79,464900.0,22.3700008392334,0.3746646034674302,2.27,80.80000305175781,0.0027679319878547077
2010-08-11,82.50848388671875,0,4,2.855668998540881,2.72,467100.0,25.38999938964844,0.3731667294216163,2.18,82.29000091552734,0.0027160752043594648
2010-08-12,82.00272369384766,0,4,2.8332542639632345,2.74,469300.0,25.729999542236328,0.3732114664874625,2.1900000000000004,82.63999938964844,0.0027020907940996067
2010-08-13,81.76115417480469,0,4,2.8096299438033268,2.68,471500.0,26.239999771118164,0.37299383629021077,2.14,82.94999694824219,0.0026763518198539035
2010-08-16,81.72341918945312,0,4,2.7823424866552253,2.58,472700.0,26.100000381469727,0.37288305295952484,2.0700000000000003,82.52999877929688,0.002676194324547926
2010-08-17,82.72740173339844,0,4,2.787333920194808,2.64,473900.0,24.32999992370605,0.3744161803578006,2.12,82.2300033569336,0.002720936052336976
2010-08-18,82.87838745117188,0,4,2.7944421063896128,2.64,475100.0,24.59000015258789,0.37447834564849086,2.13,82.22000122070312,0.0027234285680179937
2010-08-19,81.43655395507812,0,4,2.7671851138402457,2.58,476300.0,26.440000534057617,0.37448056277035185,2.09,82.44999694824219,0.002688847449464693
2010-08-20,81.1723403930664,0,4,2.7662761407333774,2.62,477500.0,25.489999771118164,0.3749395291341512,2.13,83.05999755859375,0.002681714488524177
2010-08-23,80.86286926269531,0,4,2.7808122433989753,2.6,477450.0,25.65999984741211,0.37446727751235087,2.1100000000000003,83.12000274658203,0.0026827777537331734
2010-08-24,79.66259765625,0,4,2.7750344237029623,2.5,477400.0,27.459999084472656,0.37449540469907877,2.0,83.1500015258789,0.0026298911490207125
2010-08-25,79.97210693359375,0,4,2.8039830770252423,2.54,477350.0,26.700000762939453,0.3744922059540718,2.01,83.26000213623047,0.0025905606822652074
2010-08-26,79.43612670898438,0,4,2.8027654956142904,2.5,477300.0,27.3700008392334,0.3745923155649927,1.99,82.93000030517578,0.0026756515826404834
2010-08-27,80.66661071777344,0,4,2.7850247222797506,2.66,477250.0,24.450000762939453,0.3755694385411175,2.1,82.91999816894531,0.00272168291425242
2010-08-30,79.49650573730469,0,4,2.790807911502083,2.54,476800.0,27.209999084472656,0.3749867319477232,2.04,83.16000366210938,0.0027588716952281866
2010-08-31,79.49650573730469,0,4,2.7740869434878914,2.47,476350.0,26.049999237060547,0.37488963283820387,2.0,83.19999694824219,0.002692461691554354
2010-09-01,81.8743667602539,0,4,2.7599226733614337,2.58,475900.0,23.88999938964844,0.37539772166579366,2.08,82.5199966430664,0.002783037601717094
2010-09-02,82.63682556152344,0,4,2.7809314181060216,2.63,475450.0,23.190000534057617,0.3767859922480749,2.13,82.45999908447266,0.002787055466301766
2010-09-03,83.70874786376953,0,4,2.7841616618886817,2.72,475000.0,21.309999465942383,0.37721180330833215,2.2,83.0999984741211,0.0027965899222143742
2010-09-07,82.76519775390625,0,4,2.7933207956362893,2.61,473450.0,23.799999237060547,0.3766674886156228,2.12,82.81999969482422,0.0027547123903449797
2010-09-08,83.34642028808594,0,4,2.7827044054995214,2.66,471900.0,23.25,0.3765388513510421,2.14,82.58999633789062,0.0027799458754116687
2010-09-09,83.73140716552734,0,4,2.779624717435075,2.77,470350.0,22.809999465942383,0.37609658744093194,2.2,82.66999816894531,0.0027492193004874698
2010-09-10,84.15412139892578,0,4,2.783741248637499,2.81,468800.0,21.989999771118164,0.3762234197976855,2.23,82.69999694824219,0.002729610345027398
2010-09-13,85.09017944335938,0,4,2.7490056583778264,2.74,466850.0,21.209999084472656,0.3765248445701313,2.21,81.91000366210938,0.002788129457843486
2010-09-14,85.03734588623047,0,4,2.7485688615013277,2.68,464750.0,21.559999465942383,0.3768495287329149,2.18,81.08000183105469,0.0027246595317213618
2010-09-15,85.3619613647461,0,4,2.755238565291811,2.74,462650.0,22.100000381469727,0.37668094642716854,2.24,81.48999786376953,0.0027299282213500958
2010-09-16,85.33927917480469,0,4,2.768569740361582,2.77,460550.0,21.71999931335449,0.375967964139576,2.29,81.23999786376953,0.0027384228109114677
2010-09-17,85.37118530273438,0,4,2.7741115085393986,2.75,458450.0,22.01000022888184,0.3763085610680897,2.27,81.4000015258789,0.0027543901242163067
